minute,raw_momentum,momentum
18.75,-4.167009513758699,-25.07453957784263
19.0,-3.523477381077498,-21.202152947274776
19.25,-3.374093499587031,-20.30325122018326
19.5,-3.231043004588272,-19.442459977294806
19.75,-3.0940573812719063,-18.618163459108224
20.0,-2.9628794989756146,-17.82881440902434
20.25,-2.8372631285335945,-17.072931169047706
20.5,-2.7169724800888693,-16.34909489862102
20.75,-2.6017817605008413,-15.655946911371801
21.0,3.5124964904826834,21.136076598058263
21.25,3.363578162728445,20.239976291396946
21.5,3.2209734835148387,19.381867697903058
21.75,3.0844147748569237,18.560140093577687
22.0,2.9536457074381417,17.77325104383512
22.25,2.828420819464024,17.01972350825586
22.5,2.7085050559148964,16.298143068088443
22.75,2.59367332733278,15.607155271296218
23.0,2.2850632773142556,13.750126894528854
23.25,2.1881840909599655,13.167166624222519
23.5,2.095412264275689,12.608921956860247
23.75,2.0065736586864262,12.07434503196165
24.0,1.9215015185214621,11.562432414893005
24.25,1.840036158003443,11.07222321335707
24.5,1.7620246615080961,10.602797273737634
24.75,1.6873205965319458,10.153273453913046
25.0,1.615783738829266,9.722807969296873
25.25,1.547279809202313,9.310592809000926
25.5,1.4816802214507976,8.915854219147834
25.75,1.4188618410074734,8.537851250486186
26.0,1.358706753806774,8.17587436758199
26.25,1.301102044952676,7.829244116975889
26.5,1.2459395867703051,7.497309851806116
26.75,1.1931158358434701,7.179448510503279
27.0,1.1425316386571278,6.875063447264427
27.25,1.0940920454799827,6.5835833121112595
27.5,1.0477061321378445,6.304460978430123
27.75,1.0032868293432131,6.037172515980825
28.0,4.254959439260731,25.603768964189726
28.25,4.07456311827544,24.5182531583564
28.5,3.901815009473971,23.478759661440254
28.75,3.736390853751211,22.48333727852852
29.0,6.615165059524303,39.80605696995034
29.25,6.334703763363049,38.11841074609878
29.5,6.0661331060500565,36.50231518547995
29.75,5.8089489635077625,34.95473677470896
30.0,5.875302484865612,35.354012080398356
30.25,5.626208934603792,33.85511795404647
30.5,5.387676133672218,32.419772021232085
30.75,5.159256340945923,31.04528004703167
31.0,7.648148798054736,46.02192750000958
31.25,7.323892380288067,44.070748758081066
31.5,7.013383370847138,42.20229359358102
31.75,6.716038924720041,40.41305479821759
32.0,6.431300907611232,38.69967385782439
32.25,6.15863484828823,37.05893464821746
32.5,5.897528935345371,35.48775739832709
32.75,5.647493056501494,33.98319290927309
33.0,5.737019878628245,34.52191110448806
33.25,5.493789057207341,33.0582953296423
33.5,5.260870424647674,31.656732061967798
33.75,5.03782677797271,30.314590478736083
34.0,4.824239450177792,29.02935129547142
34.25,4.619707524365737,27.798602037094817
34.5,4.423847081200517,26.62003250955606
34.75,4.236290478266423,25.49143046345356
35.0,2.3882876599800564,14.371268713381413
35.25,2.2870320984488215,13.76197406773481
35.5,2.1900694405375347,13.178511516151548
35.75,2.097217681216433,12.619785862590659
36.0,2.0083025318719114,12.084748343730292
36.25,1.9231570931557944,11.572394660372783
36.5,1.8416215417047215,11.081763092311634
36.75,1.763542830141606,10.61193269312199
37.0,1.6887743997960494,10.162021561486066
37.25,1.6171759056044617,9.7311851858087
